WTvsR.solani_AG2_BC	WTvsR.solani_AG5_BC	WTvsA.alternata_BC	WTvsR.solani_AG2_C	WTvsR.solani_AG5_C	WTvsA.alternata_C	WTvsR.solani_AG2_AC	WTvsR.solani_AG5_AC	WTvsA.alternata_AC
Tatro_004013	Tatro_008976		Tatro_011692		Tatro_010636	Tatro_006952	Tatro_010312	Tatro_000944
Tatro_011079	Tatro_008898		Tatro_011932		Tatro_004576	Tatro_006114	Tatro_010216	Tatro_000977
Tatro_010809	Tatro_007843		Tatro_001910		Tatro_010860	Tatro_010867	Tatro_003994	Tatro_000988
Tatro_011994	Tatro_002357		Tatro_000302		Tatro_006114	Tatro_010867	Tatro_007271	Tatro_001011
Tatro_011077	Tatro_007842		Tatro_006277		Tatro_009847	Tatro_005386	Tatro_006703	Tatro_001012
Tatro_006751	Tatro_001226		Tatro_005156		Tatro_006404	Tatro_002922	Tatro_002277	Tatro_001022
Tatro_004634	Tatro_002167		Tatro_003731		Tatro_011396	Tatro_008591	Tatro_010910	Tatro_001069
Tatro_006785	Tatro_006339		Tatro_002311		Tatro_004202	Tatro_010392	Tatro_004724	Tatro_001070
Tatro_009211	Tatro_004202		Tatro_003293		Tatro_006568	Tatro_010568	Tatro_004120	Tatro_001072
Tatro_004232	Tatro_001862		Tatro_011001		Tatro_010812	Tatro_009211	Tatro_005990	Tatro_001088
Tatro_011067	Tatro_004444		Tatro_004573		Tatro_003573	Tatro_002275	Tatro_007897	Tatro_001099
Tatro_002258	Tatro_010797		Tatro_002415		Tatro_000781	Tatro_011784	Tatro_002262	Tatro_001102
Tatro_011996	Tatro_010859		Tatro_003625		Tatro_004766	Tatro_010866	Tatro_011386	Tatro_001130
Tatro_002261	Tatro_004358		Tatro_007003		Tatro_001011	Tatro_011514	Tatro_005875	Tatro_001164
Tatro_004110	Tatro_007644		Tatro_004260		Tatro_007633	Tatro_011859	Tatro_003063	Tatro_001185
Tatro_001506	Tatro_007110		Tatro_006635			Tatro_004194	Tatro_008328	Tatro_001199
Tatro_011386	Tatro_004232		Tatro_003855			Tatro_008521	Tatro_001997	Tatro_001242
Tatro_005506	Tatro_006057		Tatro_005522			Tatro_004202	Tatro_007554	Tatro_001309
Tatro_002075	Tatro_011850		Tatro_000522			Tatro_006947	Tatro_004681	Tatro_001311
Tatro_010804	Tatro_008074		Tatro_006335			Tatro_009161	Tatro_009940	Tatro_001362
Tatro_001943	Tatro_006821		Tatro_000099			Tatro_006357	Tatro_011881	Tatro_001370
Tatro_005627	Tatro_010976		Tatro_004378			Tatro_004766	Tatro_008931	Tatro_001392
Tatro_005386	Tatro_001287		Tatro_001302			Tatro_011355	Tatro_002724	Tatro_001393
Tatro_002663	Tatro_009356		Tatro_000147			Tatro_002357	Tatro_006114	Tatro_001394
Tatro_003823	Tatro_011810		Tatro_002153			Tatro_006703	Tatro_007761	Tatro_001406
Tatro_003716	Tatro_007841		Tatro_001320			Tatro_004399	Tatro_011619	Tatro_001435
Tatro_010182	Tatro_010297		Tatro_006766			Tatro_003153	Tatro_006702	Tatro_001436
Tatro_004358	Tatro_009578		Tatro_002390			Tatro_010910	Tatro_005310	Tatro_001438
Tatro_010861	Tatro_010364		Tatro_000299			Tatro_008858	Tatro_009449	Tatro_001450
Tatro_002644			Tatro_008425			Tatro_011881	Tatro_005329	Tatro_001495
Tatro_006439			Tatro_001115			Tatro_004055	Tatro_007125	Tatro_001502
Tatro_001226			Tatro_004975				Tatro_006629	Tatro_001503
Tatro_009531			Tatro_006741				Tatro_005330	Tatro_001504
Tatro_000365			Tatro_004160				Tatro_006073	Tatro_001505
Tatro_001505			Tatro_002796				Tatro_002521	Tatro_001506
Tatro_004202			Tatro_002853				Tatro_011385	Tatro_001506
Tatro_001782			Tatro_006181				Tatro_004055	Tatro_001506
Tatro_010810			Tatro_011510				Tatro_007341	Tatro_001506
Tatro_004118			Tatro_006833				Tatro_006414	Tatro_001513
Tatro_002601			Tatro_000048				Tatro_007989	Tatro_001522
Tatro_002959			Tatro_008853				Tatro_011714	Tatro_001538
Tatro_006403			Tatro_009508				Tatro_003618	Tatro_001555
Tatro_011068			Tatro_003516				Tatro_004847	Tatro_001582
Tatro_001394			Tatro_011067				Tatro_011432	Tatro_001582
Tatro_000465			Tatro_000842				Tatro_009535	Tatro_001582
Tatro_006337			Tatro_002308				Tatro_007835	Tatro_001582
Tatro_009865			Tatro_011381				Tatro_001782	Tatro_001585
Tatro_004570			Tatro_005992				Tatro_000931	Tatro_001622
Tatro_010859			Tatro_003847				Tatro_000125	Tatro_001644
Tatro_005587			Tatro_002852				Tatro_010861	Tatro_001650
Tatro_008516			Tatro_004609				Tatro_005762	Tatro_001657
Tatro_011056			Tatro_001946				Tatro_004216	Tatro_001670
Tatro_006552			Tatro_006044				Tatro_006320	Tatro_001672
Tatro_002381			Tatro_004105				Tatro_004570	Tatro_001675
Tatro_009522			Tatro_005874				Tatro_003136	Tatro_001685
Tatro_006373			Tatro_010357				Tatro_005817	Tatro_001686
Tatro_008891			Tatro_003846					Tatro_001739
Tatro_001940			Tatro_000311					Tatro_001754
Tatro_006404			Tatro_003759					Tatro_001759
Tatro_006223			Tatro_010779					Tatro_001779
Tatro_010297			Tatro_010264					Tatro_001782
Tatro_005979			Tatro_004095					Tatro_001828
Tatro_007841			Tatro_008559					Tatro_001885
Tatro_011995			Tatro_000367					Tatro_001911
Tatro_007779			Tatro_001244					Tatro_001935
Tatro_005947			Tatro_011635					Tatro_001936
Tatro_006537			Tatro_007778					Tatro_001957
Tatro_001562			Tatro_008064					Tatro_001975
Tatro_011070			Tatro_011747					Tatro_001987
Tatro_011082			Tatro_006306					Tatro_001988
Tatro_010807			Tatro_010047					Tatro_001989
Tatro_006114			Tatro_010047					Tatro_001997
Tatro_000890			Tatro_010047					Tatro_002007
Tatro_000891			Tatro_010047					Tatro_002038
Tatro_007920			Tatro_002700					Tatro_002085
Tatro_003262			Tatro_007149					Tatro_002086
Tatro_005628			Tatro_003735					Tatro_002094
Tatro_010044			Tatro_006342					Tatro_002096
Tatro_001862			Tatro_001428					Tatro_002102
Tatro_010867			Tatro_006557					Tatro_002105
Tatro_007856			Tatro_008889					Tatro_002115
Tatro_008520			Tatro_007981					Tatro_002116
Tatro_008074			Tatro_004608					Tatro_002140
Tatro_008976			Tatro_001484					Tatro_002141
Tatro_004207			Tatro_009866					Tatro_002142
Tatro_010866			Tatro_002699					Tatro_002143
Tatro_006512			Tatro_000731					Tatro_002152
Tatro_002718			Tatro_006587					Tatro_002153
Tatro_002588			Tatro_009247					Tatro_002161
Tatro_008003			Tatro_001564					Tatro_002167
Tatro_010962			Tatro_004292					Tatro_002176
Tatro_002652			Tatro_011258					Tatro_002177
Tatro_011057			Tatro_007152					Tatro_002178
Tatro_002681			Tatro_004493					Tatro_002179
Tatro_004120			Tatro_000364					Tatro_002179
Tatro_005312			Tatro_003002					Tatro_002179
Tatro_004606			Tatro_000392					Tatro_002179
Tatro_004181			Tatro_011029					Tatro_002208
Tatro_010299			Tatro_011925					Tatro_002244
Tatro_009264			Tatro_002046					Tatro_002258
Tatro_007840			Tatro_002792					Tatro_002258
Tatro_004175			Tatro_004555					Tatro_002258
Tatro_002847			Tatro_004546					Tatro_002258
Tatro_004126			Tatro_003917					Tatro_002262
Tatro_003041			Tatro_001090					Tatro_002270
Tatro_000814			Tatro_006220					Tatro_002271
Tatro_001228			Tatro_008185					Tatro_002275
Tatro_008027			Tatro_008683					Tatro_002277
Tatro_007225			Tatro_005206					Tatro_002283
Tatro_003234			Tatro_011875					Tatro_002309
Tatro_004205			Tatro_006372					Tatro_002331
Tatro_001670			Tatro_004548					Tatro_002334
Tatro_010893			Tatro_002243					Tatro_002354
Tatro_007203			Tatro_009867					Tatro_002357
Tatro_011244			Tatro_008593					Tatro_002391
Tatro_007955			Tatro_009219					Tatro_002397
Tatro_004444			Tatro_010619					Tatro_002418
Tatro_007182			Tatro_007151					Tatro_002419
Tatro_000436			Tatro_010926					Tatro_002449
Tatro_011633			Tatro_007634					Tatro_002457
Tatro_008521			Tatro_011344					Tatro_002462
Tatro_002266			Tatro_006779					Tatro_002463
Tatro_002283			Tatro_011153					Tatro_002464
Tatro_009958			Tatro_000218					Tatro_002494
Tatro_002315			Tatro_005611					Tatro_002501
Tatro_007844			Tatro_002961					Tatro_002546
Tatro_006592			Tatro_000293					Tatro_002564
Tatro_004194			Tatro_000070					Tatro_002578
Tatro_004607			Tatro_004234					Tatro_002592
Tatro_004257			Tatro_004234					Tatro_002600
Tatro_010986			Tatro_004234					Tatro_002601
Tatro_007070			Tatro_004234					Tatro_002602
Tatro_010439			Tatro_000562					Tatro_002615
Tatro_002105			Tatro_006336					Tatro_002621
Tatro_006946			Tatro_009058					Tatro_002651
Tatro_006549			Tatro_002773					Tatro_002653
Tatro_004740			Tatro_011504					Tatro_002665
Tatro_003247			Tatro_010972					Tatro_002681
Tatro_010100			Tatro_008518					Tatro_002689
Tatro_010913			Tatro_004650					Tatro_002724
Tatro_004712			Tatro_004650					Tatro_002749
Tatro_006183			Tatro_004650					Tatro_002751
Tatro_001654			Tatro_004650					Tatro_002753
Tatro_009425			Tatro_004714					Tatro_002800
Tatro_005261			Tatro_001027					Tatro_002804
Tatro_011947			Tatro_009485					Tatro_002806
Tatro_005322			Tatro_007845					Tatro_002818
Tatro_006558			Tatro_007643					Tatro_002820
Tatro_002794			Tatro_010640					Tatro_002822
Tatro_010927			Tatro_006222					Tatro_002847
Tatro_004491			Tatro_010366					Tatro_002873
Tatro_002880			Tatro_002509					Tatro_002881
Tatro_001922			Tatro_005357					Tatro_002888
Tatro_010008			Tatro_009470					Tatro_002894
Tatro_007462			Tatro_007837					Tatro_002909
Tatro_001395			Tatro_005827					Tatro_002910
Tatro_010295			Tatro_002244					Tatro_002912
Tatro_000372			Tatro_001924					Tatro_002920
Tatro_006800			Tatro_001659					Tatro_002929
Tatro_010376			Tatro_007899					Tatro_002936
Tatro_007159			Tatro_008836					Tatro_002942
Tatro_004394			Tatro_002820					Tatro_002944
Tatro_004109			Tatro_004711					Tatro_002945
Tatro_011256			Tatro_004047					Tatro_002947
Tatro_011029			Tatro_004158					Tatro_002950
Tatro_006992			Tatro_003863					Tatro_002962
Tatro_010865			Tatro_007628					Tatro_002964
Tatro_003689			Tatro_010177					Tatro_002994
Tatro_004725			Tatro_011859					Tatro_003002
Tatro_007992			Tatro_011151					Tatro_003015
Tatro_006324			Tatro_000704					Tatro_003048
Tatro_008775			Tatro_010298					Tatro_003049
Tatro_008771			Tatro_000380					Tatro_003050
Tatro_002278			Tatro_009551					Tatro_003063
Tatro_004773			Tatro_000636					Tatro_003064
Tatro_004660			Tatro_008637					Tatro_003111
Tatro_000741			Tatro_007910					Tatro_003124
Tatro_010806			Tatro_009958					Tatro_003129
Tatro_009316			Tatro_007683					Tatro_003136
Tatro_008884			Tatro_001139					Tatro_003138
Tatro_006520			Tatro_006537					Tatro_003156
Tatro_003040			Tatro_010834					Tatro_003158
Tatro_006869			Tatro_007839					Tatro_003162
Tatro_002167			Tatro_001598					Tatro_003247
Tatro_002044			Tatro_001069					Tatro_003266
Tatro_003863			Tatro_009532					Tatro_003291
Tatro_008257			Tatro_009432					Tatro_003350
Tatro_006057			Tatro_000041					Tatro_003387
Tatro_008071			Tatro_001674					Tatro_003498
Tatro_010458			Tatro_002651					Tatro_003544
Tatro_007991			Tatro_007585					Tatro_003545
Tatro_001538			Tatro_008891					Tatro_003563
Tatro_010821			Tatro_011808					Tatro_003574
Tatro_011903			Tatro_007182					Tatro_003581
Tatro_006806			Tatro_002523					Tatro_003593
Tatro_005495			Tatro_002397					Tatro_003648
Tatro_001373			Tatro_004860					Tatro_003681
Tatro_002751			Tatro_006642					Tatro_003710
Tatro_004525			Tatro_007902					Tatro_003718
Tatro_010211			Tatro_003944					Tatro_003731
Tatro_002990			Tatro_006162					Tatro_003732
Tatro_011078			Tatro_011424					Tatro_003759
Tatro_008896			Tatro_002720					Tatro_003760
Tatro_006372			Tatro_000312					Tatro_003766
Tatro_000112			Tatro_009396					Tatro_003779
Tatro_011089			Tatro_005705					Tatro_003779
Tatro_008901			Tatro_011090					Tatro_003779
Tatro_003573			Tatro_003734					Tatro_003779
Tatro_006947			Tatro_003734					Tatro_003783
Tatro_009246			Tatro_003734					Tatro_003820
Tatro_000364			Tatro_003734					Tatro_003837
Tatro_002648			Tatro_007703					Tatro_003844
Tatro_003924			Tatro_010677					Tatro_003861
Tatro_011503			Tatro_003825					Tatro_003862
Tatro_006513			Tatro_010890					Tatro_003868
Tatro_000636			Tatro_006522					Tatro_003870
Tatro_002150			Tatro_001224					Tatro_003893
Tatro_002151			Tatro_001779					Tatro_003924
Tatro_008886			Tatro_010101					Tatro_003931
Tatro_003734			Tatro_002912					Tatro_003972
Tatro_006184			Tatro_006373					Tatro_003994
Tatro_003919			Tatro_004741					Tatro_004010
Tatro_010355			Tatro_004741					Tatro_004029
Tatro_009532			Tatro_004741					Tatro_004042
Tatro_010630			Tatro_004741					Tatro_004050
Tatro_008866			Tatro_005634					Tatro_004050
Tatro_005389			Tatro_009721					Tatro_004050
Tatro_002881			Tatro_002601					Tatro_004050
Tatro_007702			Tatro_004607					Tatro_004055
Tatro_007902			Tatro_010439					Tatro_004065
Tatro_004305			Tatro_008257					Tatro_004120
Tatro_010890			Tatro_008866					Tatro_004123
Tatro_011080			Tatro_000889					Tatro_004177
Tatro_005313			Tatro_009484					Tatro_004196
Tatro_009721			Tatro_003867					Tatro_004202
Tatro_007237			Tatro_006385					Tatro_004215
Tatro_000889			Tatro_003689					Tatro_004216
Tatro_009867			Tatro_010913					Tatro_004257
Tatro_008710			Tatro_000878					Tatro_004280
Tatro_004213			Tatro_011077					Tatro_004308
Tatro_002120			Tatro_010833					Tatro_004314
Tatro_004741			Tatro_002719					Tatro_004328
Tatro_011504			Tatro_000006					Tatro_004329
Tatro_001096			Tatro_005495					Tatro_004330
Tatro_007278			Tatro_004713					Tatro_004389
Tatro_006522			Tatro_011247					Tatro_004397
Tatro_008830			Tatro_008896					Tatro_004399
Tatro_003042			Tatro_010376					Tatro_004436
