WTvsR.solani_AG2_BC	WTvsR.solani_AG5_BC	WTvsA.alternata_BC	WTvsR.solani_AG2_C	WTvsR.solani_AG5_C	WTvsA.alternata_C	WTvsR.solani_AG2_AC	WTvsR.solani_AG5_AC	WTvsA.alternata_AC
Tatro_006820			Tatro_010901	Tatro_004703	Tatro_006150	Tatro_002889	Tatro_002597	Tatro_000834
Tatro_002607			Tatro_011193	Tatro_001988	Tatro_006266	Tatro_002892	Tatro_002716	Tatro_000852
Tatro_005310			Tatro_001455	Tatro_005833	Tatro_006320	Tatro_002893	Tatro_002750	Tatro_000861
Tatro_011160			Tatro_006437	Tatro_001986	Tatro_006327	Tatro_002896	Tatro_002769	Tatro_000874
Tatro_003787			Tatro_009632	Tatro_009698	Tatro_006630	Tatro_002909	Tatro_002889	Tatro_000877
Tatro_003838			Tatro_011013	Tatro_006165	Tatro_006665	Tatro_002911	Tatro_002894	Tatro_000907
Tatro_002062			Tatro_001185	Tatro_006165	Tatro_006666	Tatro_002916	Tatro_002896	Tatro_000924
			Tatro_010043	Tatro_006165	Tatro_006807	Tatro_002929	Tatro_002911	Tatro_000936
			Tatro_011916	Tatro_006165	Tatro_006835	Tatro_002946	Tatro_002916	Tatro_000951
			Tatro_000962	Tatro_001987	Tatro_007126	Tatro_002949	Tatro_002927	Tatro_000952
			Tatro_011958	Tatro_002872	Tatro_007203	Tatro_003003	Tatro_002929	Tatro_000969
			Tatro_000015	Tatro_003857	Tatro_007204	Tatro_003007	Tatro_002946	Tatro_000970
			Tatro_003129	Tatro_010028	Tatro_007253	Tatro_003009	Tatro_002948	Tatro_000986
			Tatro_008388	Tatro_001710	Tatro_007342	Tatro_003082	Tatro_002949	Tatro_000999
			Tatro_006937		Tatro_007348	Tatro_003127	Tatro_003003	Tatro_001005
			Tatro_009038		Tatro_007733	Tatro_003167	Tatro_003009	Tatro_001016
			Tatro_006249		Tatro_007749	Tatro_003303	Tatro_003010	Tatro_001028
			Tatro_008609		Tatro_007842	Tatro_003325	Tatro_003082	Tatro_001057
			Tatro_001553		Tatro_007904	Tatro_003683	Tatro_003148	Tatro_001080
			Tatro_001949		Tatro_008132	Tatro_003816	Tatro_003186	Tatro_001115
			Tatro_010560		Tatro_008393	Tatro_003880	Tatro_003305	Tatro_001137
			Tatro_007626		Tatro_008394	Tatro_003947	Tatro_003306	Tatro_001145
			Tatro_007461		Tatro_008395	Tatro_003989	Tatro_003325	Tatro_001184
			Tatro_005362		Tatro_008556	Tatro_003990	Tatro_003347	Tatro_001189
			Tatro_004818		Tatro_008719	Tatro_004445	Tatro_003683	Tatro_001190
			Tatro_000931		Tatro_008842	Tatro_004511	Tatro_003688	Tatro_001190
			Tatro_002508		Tatro_009141	Tatro_004512	Tatro_003824	Tatro_001190
			Tatro_003287		Tatro_009256	Tatro_004528	Tatro_003880	Tatro_001190
			Tatro_004170		Tatro_009479	Tatro_004593	Tatro_003990	Tatro_001206
			Tatro_009364		Tatro_010096	Tatro_004594	Tatro_004111	Tatro_001214
			Tatro_006868		Tatro_010098	Tatro_004663	Tatro_004323	Tatro_001225
			Tatro_003244		Tatro_010159	Tatro_004690	Tatro_004445	Tatro_001226
			Tatro_004863		Tatro_010173	Tatro_004691	Tatro_004446	Tatro_001248
			Tatro_002872		Tatro_010189	Tatro_004692	Tatro_004467	Tatro_001270
			Tatro_004071		Tatro_010359	Tatro_004698	Tatro_004528	Tatro_001284
			Tatro_006159		Tatro_010503	Tatro_004699	Tatro_004593	Tatro_001296
			Tatro_005035		Tatro_010590	Tatro_004703	Tatro_004594	Tatro_001297
			Tatro_000739		Tatro_010833	Tatro_004704	Tatro_004690	Tatro_001302
			Tatro_006224		Tatro_010837	Tatro_004734	Tatro_004691	Tatro_001322
			Tatro_004010		Tatro_010842	Tatro_004785	Tatro_004692	Tatro_001340
			Tatro_009208		Tatro_010905	Tatro_004801	Tatro_004701	Tatro_001344
			Tatro_004325		Tatro_010910	Tatro_005099	Tatro_004703	Tatro_001378
			Tatro_003182		Tatro_010976	Tatro_005737	Tatro_004704	Tatro_001397
			Tatro_011211		Tatro_011088	Tatro_005792	Tatro_004727	Tatro_001398
			Tatro_005164		Tatro_011089	Tatro_005818	Tatro_004734	Tatro_001403
			Tatro_006829		Tatro_011098	Tatro_005893	Tatro_004785	Tatro_001424
			Tatro_001324		Tatro_011170	Tatro_005905	Tatro_004801	Tatro_001433
			Tatro_007432		Tatro_011349	Tatro_005937	Tatro_004976	Tatro_001451
			Tatro_000362		Tatro_011350	Tatro_005943	Tatro_005662	Tatro_001491
			Tatro_000404		Tatro_011768	Tatro_006165	Tatro_005737	Tatro_001546
			Tatro_007359		Tatro_011804	Tatro_006165	Tatro_005792	Tatro_001551
			Tatro_000192		Tatro_011810	Tatro_006165	Tatro_005932	Tatro_001554
			Tatro_009639		Tatro_011816	Tatro_006165	Tatro_006165	Tatro_001556
			Tatro_004926		Tatro_011877	Tatro_006219	Tatro_006165	Tatro_001560
			Tatro_006035		Tatro_011888	Tatro_006266	Tatro_006165	Tatro_001562
			Tatro_003502		Tatro_011890	Tatro_006355	Tatro_006165	Tatro_001568
			Tatro_004674		Tatro_011910	Tatro_006361	Tatro_006219	Tatro_001577
			Tatro_006747			Tatro_006435	Tatro_006266	Tatro_001589
			Tatro_005762			Tatro_006481	Tatro_006327	Tatro_001598
			Tatro_001049			Tatro_006516	Tatro_006361	Tatro_001610
			Tatro_004909			Tatro_006517	Tatro_006434	Tatro_001612
			Tatro_010679			Tatro_006607	Tatro_006494	Tatro_001617
			Tatro_005062			Tatro_006655	Tatro_006496	Tatro_001620
			Tatro_001454			Tatro_006665	Tatro_006497	Tatro_001633
			Tatro_010106			Tatro_006666	Tatro_006500	Tatro_001634
			Tatro_007459			Tatro_006770	Tatro_006501	Tatro_001640
			Tatro_001109			Tatro_006938	Tatro_006516	Tatro_001649
			Tatro_011162			Tatro_007021	Tatro_006553	Tatro_001661
			Tatro_005804			Tatro_007131	Tatro_006607	Tatro_001662
			Tatro_002116			Tatro_007154	Tatro_006655	Tatro_001664
			Tatro_011935			Tatro_007159	Tatro_006665	Tatro_001666
			Tatro_004899			Tatro_007174	Tatro_006666	Tatro_001667
			Tatro_009883			Tatro_007273	Tatro_006761	Tatro_001673
			Tatro_008648			Tatro_007286	Tatro_006938	Tatro_001684
			Tatro_003137			Tatro_007293	Tatro_007096	Tatro_001743
			Tatro_003614			Tatro_007313	Tatro_007130	Tatro_001764
			Tatro_010923			Tatro_007327	Tatro_007131	Tatro_001767
			Tatro_003039			Tatro_007335	Tatro_007146	Tatro_001772
			Tatro_005692			Tatro_007347	Tatro_007154	Tatro_001776
			Tatro_006823			Tatro_007348	Tatro_007273	Tatro_001796
			Tatro_008673			Tatro_007351	Tatro_007278	Tatro_001833
			Tatro_010253			Tatro_007361	Tatro_007286	Tatro_001834
			Tatro_006175			Tatro_007441	Tatro_007313	Tatro_001879
			Tatro_010594			Tatro_007541	Tatro_007347	Tatro_001898
			Tatro_004583			Tatro_007662	Tatro_007348	Tatro_001909
			Tatro_011785			Tatro_007666	Tatro_007349	Tatro_001922
			Tatro_009243			Tatro_007668	Tatro_007351	Tatro_001923
			Tatro_008445			Tatro_007672	Tatro_007361	Tatro_001924
			Tatro_003957			Tatro_007675	Tatro_007441	Tatro_001925
			Tatro_008913			Tatro_007679	Tatro_007598	Tatro_001927
			Tatro_005133			Tatro_007707	Tatro_007666	Tatro_001929
			Tatro_005160			Tatro_007733	Tatro_007668	Tatro_001937
			Tatro_001854			Tatro_007740	Tatro_007672	Tatro_001940
			Tatro_009625			Tatro_007836	Tatro_007675	Tatro_001979
			Tatro_007791			Tatro_007896	Tatro_007679	Tatro_001991
			Tatro_002970			Tatro_007904	Tatro_007732	Tatro_002012
			Tatro_000572			Tatro_007960	Tatro_007737	Tatro_002031
			Tatro_007794			Tatro_007988	Tatro_007740	Tatro_002062
			Tatro_006819			Tatro_008042	Tatro_007846	Tatro_002075
			Tatro_002873			Tatro_008047	Tatro_007896	Tatro_002078
			Tatro_008761			Tatro_008071	Tatro_007960	Tatro_002099
			Tatro_003097			Tatro_008072	Tatro_007961	Tatro_002100
			Tatro_009770			Tatro_008282	Tatro_008042	Tatro_002101
			Tatro_008299			Tatro_008329	Tatro_008047	Tatro_002120
			Tatro_001365			Tatro_008380	Tatro_008056	Tatro_002139
			Tatro_006788			Tatro_008415	Tatro_008057	Tatro_002144
			Tatro_005305			Tatro_008553	Tatro_008058	Tatro_002146
			Tatro_002991			Tatro_008595	Tatro_008071	Tatro_002147
			Tatro_002374			Tatro_008754	Tatro_008072	Tatro_002148
			Tatro_006076			Tatro_008841	Tatro_008116	Tatro_002158
			Tatro_004811			Tatro_009000	Tatro_008282	Tatro_002163
			Tatro_000600			Tatro_009166	Tatro_008329	Tatro_002165
			Tatro_002366			Tatro_009176	Tatro_008380	Tatro_002166
			Tatro_000761			Tatro_009293	Tatro_008383	Tatro_002169
			Tatro_001237			Tatro_009331	Tatro_008415	Tatro_002170
			Tatro_005862			Tatro_009332	Tatro_008494	Tatro_002191
			Tatro_009733			Tatro_009360	Tatro_008536	Tatro_002194
			Tatro_008279			Tatro_009363	Tatro_008553	Tatro_002195
			Tatro_010618			Tatro_009422	Tatro_008595	Tatro_002202
			Tatro_009900			Tatro_009447	Tatro_008754	Tatro_002252
			Tatro_005054			Tatro_009449	Tatro_008841	Tatro_002255
			Tatro_003340			Tatro_009518	Tatro_008933	Tatro_002274
			Tatro_009411			Tatro_009615	Tatro_009000	Tatro_002278
			Tatro_009301			Tatro_009973	Tatro_009132	Tatro_002279
			Tatro_004983			Tatro_010096	Tatro_009143	Tatro_002284
			Tatro_004015			Tatro_010098	Tatro_009157	Tatro_002285
			Tatro_000172			Tatro_010152	Tatro_009166	Tatro_002296
			Tatro_010477			Tatro_010190	Tatro_009176	Tatro_002315
			Tatro_002438			Tatro_010195	Tatro_009193	Tatro_002319
			Tatro_000467			Tatro_010213	Tatro_009331	Tatro_002347
			Tatro_005040			Tatro_010217	Tatro_009332	Tatro_002369
			Tatro_004814			Tatro_010229	Tatro_009422	Tatro_002383
			Tatro_006490			Tatro_010230	Tatro_009453	Tatro_002400
