geneid,GOid
Tatro_008392-T1,GO:0005515;GO:0008152;GO:0004364;GO:0005737
Tatro_006628-T1,GO:0003824;GO:0008484;GO:0008152
Tatro_001625-T1,GO:0008080
Tatro_006678-T1,GO:0055114;GO:0016491
Tatro_009718-T1,GO:0006629;GO:0008081
Tatro_011360-T1,GO:0005515
Tatro_000963-T1,GO:0046872
Tatro_000631-T1,GO:0003755;GO:0006457;GO:0000413
Tatro_007278-T1,GO:0030248;GO:0005975;GO:0004553;GO:0005576
Tatro_006819-T1,GO:0005515;GO:0034968;GO:0003677;GO:0006351;GO:0018024;GO:0005634;GO:0006355;GO:0046975;GO:0005694;GO:0006354;GO:0010452
Tatro_004558-T1,GO:0055114;GO:0016491
Tatro_011834-T1,GO:0016829
Tatro_007881-T1,GO:0006904;GO:0016192
Tatro_002894-T1,GO:0004553;GO:0005975
Tatro_005883-T1,GO:0055114;GO:0016491
Tatro_004863-T1,GO:0055085;GO:0016020;GO:0008271;GO:0008272;GO:0016021;GO:0015116
Tatro_002753-T1,GO:0006508;GO:0004252;GO:0008236
Tatro_005484-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_000994-T1,GO:0003824;GO:0016831;GO:0030170;GO:0019752
Tatro_003010-T1,GO:0016491;GO:0050660;GO:0055114;GO:0016614
Tatro_010154-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_003215-T1,GO:0008026;GO:0003676;GO:0004386;GO:0005524
Tatro_000916-T1,GO:0005215;GO:0005622;GO:0006810
Tatro_009882-T1,GO:0004674;GO:0004672;GO:0006468;GO:0005524
Tatro_010869-T1,GO:0046872;GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0003676;GO:0000981
Tatro_010418-T1,GO:0016021;GO:0055085
Tatro_009101-T1,GO:0003924;GO:0005525
Tatro_005376-T1,GO:0016021;GO:0055085
Tatro_010255-T1,GO:0005515
Tatro_008159-T1,GO:0006511
Tatro_007668-T1,GO:0031177;GO:0016740;GO:0003824;GO:0016491;GO:0055114;GO:0008152
Tatro_010596-T1,GO:0016787;GO:0005515
Tatro_004279-T1,GO:0004553;GO:0005975
Tatro_007920-T1,GO:0005515
Tatro_009268-T1,GO:0005515
Tatro_003638-T1,GO:0016787
Tatro_006972-T1,GO:0005515
Tatro_005533-T1,GO:0003824;GO:0008152
Tatro_011405-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_001954-T1,GO:0006122;GO:0005750
Tatro_000564-T1,GO:0005515;GO:0007165;GO:0016310;GO:0016772;GO:0000160;GO:0000155
Tatro_002374-T1,GO:0003676;GO:0000166
Tatro_004685-T1,GO:0033897;GO:0003723
Tatro_005116-T1,GO:0003677;GO:0003917;GO:0006265;GO:0005694;GO:0003918
Tatro_004494-T1,GO:0005515
Tatro_006599-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_009734-T1,GO:0015035
Tatro_005286-T1,GO:0046872;GO:0003676
Tatro_007717-T1,GO:0006433;GO:0004827;GO:0006418;GO:0005524;GO:0004812;GO:0005737;GO:0000166
Tatro_000995-T1,GO:0004518;GO:0005515;GO:0003677;GO:0006281;GO:0003824
Tatro_007054-T1,GO:0006508;GO:0004197
Tatro_001520-T1,GO:0047605;GO:0045151
Tatro_011883-T1,GO:0016021;GO:0055085
Tatro_000209-T1,GO:0005515;GO:0008270
Tatro_007504-T1,GO:0006807;GO:0016855;GO:0006520;GO:0036361;GO:0008152
Tatro_006570-T1,GO:0055114;GO:0016491
Tatro_004425-T1,GO:0055114;GO:0016491
Tatro_004594-T1,GO:0055114;GO:0016491;GO:0008270
Tatro_000881-T1,GO:0016887;GO:0055085;GO:0006810;GO:0005524;GO:0042626;GO:0016021
Tatro_003335-T1,GO:0005515
Tatro_002413-T1,GO:0006508;GO:0004252
Tatro_006425-T1,GO:0046872;GO:0005634;GO:0003676;GO:0008270
Tatro_002067-T1,GO:0009308;GO:0008131;GO:0005507;GO:0055114;GO:0048038
Tatro_002605-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_002710-T1,GO:0016787;GO:0008239
Tatro_009039-T1,GO:0005488
Tatro_003184-T1,GO:0005515
Tatro_005291-T1,GO:0005515
Tatro_000766-T1,GO:0005634;GO:0006355;GO:0003700;GO:0000156;GO:0043565;GO:0006950;GO:0000160
Tatro_008727-T1,GO:0005515;GO:0051276;GO:0005694;GO:0005524
Tatro_007951-T1,GO:0008270;GO:0003676
Tatro_010223-T1,GO:0016491
Tatro_000282-T1,GO:0055114;GO:0016491
Tatro_006810-T1,GO:0005515
Tatro_006218-T1,GO:0016491
Tatro_011527-T1,GO:0005515;GO:0006629;GO:0007165;GO:0035556;GO:0004435;GO:0008081
Tatro_004495-T1,GO:0005515
Tatro_000945-T1,GO:0005515
Tatro_002841-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_008667-T1,GO:0004820;GO:0006426;GO:0006418;GO:0005524;GO:0004812;GO:0005737;GO:0000166
Tatro_010530-T1,GO:0051015;GO:0005515;GO:0003774;GO:0016459;GO:0005524
Tatro_007534-T1,GO:0003676;GO:0000166
Tatro_009317-T1,GO:0004601;GO:0006979;GO:0005506;GO:0055114;GO:0020037;GO:0016705
Tatro_006461-T1,GO:0003824;GO:0005515;GO:0009116
Tatro_000148-T1,GO:0016021;GO:0005215;GO:0055085
Tatro_003922-T1,GO:0005515
Tatro_009600-T1,GO:0005622;GO:0006810;GO:0006888
Tatro_004909-T1,GO:0016021;GO:0055085;GO:0022857
Tatro_003126-T1,GO:0005515;GO:0007165
Tatro_005899-T1,GO:0016021
Tatro_005502-T1,GO:0004553;GO:0005975
Tatro_005451-T1,GO:0005515;GO:0005634;GO:0006355;GO:0042393;GO:0005524
Tatro_011963-T1,GO:0020037;GO:0016705;GO:0005506;GO:0055114
Tatro_010084-T1,GO:0005524
Tatro_004918-T1,GO:0009055;GO:0045454;GO:0015035
Tatro_000536-T1,GO:0046872;GO:0000166;GO:0005507;GO:0019829;GO:0016021;GO:0006812;GO:0030001
Tatro_007644-T1,GO:0015171;GO:0016020;GO:0003333
Tatro_011381-T1,GO:0031177;GO:0016740;GO:0003824;GO:0016491;GO:0055114;GO:0008152
Tatro_002105-T1,GO:0005515
Tatro_005241-T1,GO:0046872;GO:0055114;GO:0004784;GO:0006801
Tatro_009538-T1,GO:0007165;GO:0016310;GO:0016772;GO:0000160;GO:0000155
Tatro_005666-T1,GO:0005515;GO:0005737
Tatro_006327-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_003544-T1,GO:0006633;GO:0016740;GO:0003824;GO:0000287;GO:0008897;GO:0008152
Tatro_000285-T1,GO:0022891;GO:0055085;GO:0016020;GO:0022857;GO:0005215;GO:0016021
Tatro_004948-T1,GO:0005388;GO:0046872;GO:0016021;GO:0006816;GO:0000166
Tatro_008280-T1,GO:0000398
Tatro_009785-T1,GO:0048017;GO:0035091;GO:0004630;GO:0003824;GO:0030334;GO:0006654;GO:0050764
Tatro_009655-T1,GO:0016627;GO:0055114;GO:0008152;GO:0003995
Tatro_010369-T1,GO:0003824;GO:0008080;GO:0051536
Tatro_008886-T1,GO:0005515
